,xper_auc
benchmark,0.5075693007038926
Number_of_Priors,0.1455833799165403
Age_Above_FourtyFive,0.016407283718217203
Age_Below_TwentyFive,0.018570309985163944
African_American,0.0020973006639833924
Asian,0.000413877519928163
Hispanic,0.00025079175499235357
Native_American,-0.00047624652632002884
Other,0.00040593578833286736
Female,-0.0017382268790217814
Misdemeanor,0.008552969341214606
